email,first_name,last_name,email_verified,external_id,password_hash,password_hash_type,metadata,org_external_id,org_name,role_slugs
alice.johnson@acme.com,Alice,Johnson,true,user_01,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_01"",""username"":""alicej"",""primary_phone_number"":""+15551000001"",""verified_phone_numbers"":""+15551000001"",""verified_email_addresses"":""alice.johnson@acme.com""}",acme-corp,Acme Corporation,"super-admin,org-admin"
bob.martinez@acme.com,Bob,Martinez,true,user_02,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_02"",""username"":""bobm"",""verified_email_addresses"":""bob.martinez@acme.com""}",acme-corp,Acme Corporation,org-editor
carol.williams@acme.com,Carol,Williams,true,user_03,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_03"",""username"":""carolw"",""primary_phone_number"":""+15551000003"",""verified_phone_numbers"":""+15551000003"",""verified_email_addresses"":""carol.williams@acme.com""}",acme-corp,Acme Corporation,org-editor
david.brown@acme.com,David,Brown,true,user_04,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_04"",""username"":""davidb"",""verified_email_addresses"":""david.brown@acme.com""}",acme-corp,Acme Corporation,org-viewer
emma.davis@acme.com,Emma,Davis,true,user_05,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_05"",""username"":""emmad"",""verified_email_addresses"":""emma.davis@acme.com""}",acme-corp,Acme Corporation,org-viewer
frank.garcia@globex.io,Frank,Garcia,true,user_06,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_06"",""username"":""frankg"",""primary_phone_number"":""+15551000006"",""verified_phone_numbers"":""+15551000006"",""verified_email_addresses"":""frank.garcia@globex.io""}",globex-io,Globex Industries,org-admin
grace.lee@globex.io,Grace,Lee,true,user_07,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_07"",""username"":""gracel"",""verified_email_addresses"":""grace.lee@globex.io""}",globex-io,Globex Industries,org-editor
henry.wilson@globex.io,Henry,Wilson,true,user_08,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_08"",""username"":""henryw"",""verified_email_addresses"":""henry.wilson@globex.io""}",globex-io,Globex Industries,org-viewer
iris.taylor@globex.io,Iris,Taylor,true,user_09,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_09"",""username"":""irist"",""primary_phone_number"":""+15551000009"",""verified_phone_numbers"":""+15551000009"",""verified_email_addresses"":""iris.taylor@globex.io""}",globex-io,Globex Industries,org-viewer
jack.anderson@globex.io,Jack,Anderson,true,user_10,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_10"",""username"":""jacka"",""verified_email_addresses"":""jack.anderson@globex.io""}",globex-io,Globex Industries,org-viewer
