email,first_name,last_name,email_verified,external_id,org_external_id,org_name,metadata
oliver.oconnor@acmecorp.com,Oliver,O'Connor,true,auth0|user_015_1767398262763,org_9fJ6miTmBiRxES00_1767398262763,Acme Corporation,"{""auth0_organization_id"":""org_acme_001"",""auth0_organization_name"":""Acme Corporation"",""department"":""Engineering"",""title"":""QA Engineer"",""location"":""Austin, TX"",""phone"":""+1-512-555-0115"",""roles"":""[\""developer\"",\""qa\""]"",""plan"":""enterprise"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_015_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.124Z"",""auth0_updated_at"":""2026-01-02T22:00:26.124Z""}"
diana.davis@acmecorp.com,Diana,Davis,false,auth0|user_004_1767398262763,org_9fJ6miTmBiRxES00_1767398262763,Acme Corporation,"{""auth0_organization_id"":""org_acme_001"",""auth0_organization_name"":""Acme Corporation"",""department"":""Marketing"",""title"":""Marketing Coordinator"",""location"":""Austin, TX"",""phone"":""+1-512-555-0104"",""roles"":""[\""user\""]"",""plan"":""enterprise"",""onboarding_completed"":""false"",""auth0_user_id"":""auth0|user_004_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
laura.lopez@acmecorp.com,Laura,Lopez,true,auth0|user_012_1767398262763,org_9fJ6miTmBiRxES00_1767398262763,Acme Corporation,"{""auth0_organization_id"":""org_acme_001"",""auth0_organization_name"":""Acme Corporation"",""department"":""HR"",""title"":""HR Manager"",""location"":""San Francisco, CA"",""phone"":""+1-415-555-0112"",""roles"":""[\""user\"",\""hr\""]"",""plan"":""enterprise"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_012_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
alice.anderson@acmecorp.com,Alice,Anderson,true,auth0|user_001_1767398262763,org_9fJ6miTmBiRxES00_1767398262763,Acme Corporation,"{""auth0_organization_id"":""org_acme_001"",""auth0_organization_name"":""Acme Corporation"",""department"":""Engineering"",""title"":""Senior Software Engineer"",""location"":""San Francisco, CA"",""phone"":""+1-415-555-0101"",""roles"":""[\""admin\"",\""developer\""]"",""plan"":""enterprise"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_001_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.121Z"",""auth0_updated_at"":""2026-01-02T22:00:26.121Z""}"
bob.builder@acmecorp.com,Bob,Builder,true,auth0|user_002_1767398262763,org_9fJ6miTmBiRxES00_1767398262763,Acme Corporation,"{""auth0_organization_id"":""org_acme_001"",""auth0_organization_name"":""Acme Corporation"",""department"":""Engineering"",""title"":""Engineering Manager"",""location"":""San Francisco, CA"",""phone"":""+1-415-555-0102"",""roles"":""[\""admin\"",\""manager\""]"",""plan"":""enterprise"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_002_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.121Z"",""auth0_updated_at"":""2026-01-02T22:00:26.121Z""}"
charlie.chen@acmecorp.com,Charlie,Chen,true,auth0|user_003_1767398262763,org_9fJ6miTmBiRxES00_1767398262763,Acme Corporation,"{""auth0_organization_id"":""org_acme_001"",""auth0_organization_name"":""Acme Corporation"",""department"":""Sales"",""title"":""Account Executive"",""location"":""New York, NY"",""phone"":""+1-212-555-0103"",""roles"":""[\""user\""]"",""plan"":""enterprise"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_003_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.121Z"",""auth0_updated_at"":""2026-01-02T22:00:26.121Z""}"
evan.evans@betainc.com,Evan,Evans,true,auth0|user_005_1767398262763,org_gmmB4ckByYuWZDKv_1767398262763,Beta Inc,"{""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""department"":""Product"",""title"":""Product Manager"",""location"":""Seattle, WA"",""phone"":""+1-206-555-0105"",""roles"":""[\""admin\"",\""product\""]"",""plan"":""professional"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_005_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
fiona.fitzgerald@betainc.com,Fiona,Fitzgerald,true,auth0|user_006_1767398262763,org_gmmB4ckByYuWZDKv_1767398262763,Beta Inc,"{""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""department"":""Engineering"",""title"":""Staff Engineer"",""location"":""Seattle, WA"",""phone"":""+1-206-555-0106"",""roles"":""[\""developer\""]"",""plan"":""professional"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_006_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
george.garcia@betainc.com,George,Garcia,true,auth0|user_007_1767398262763,org_gmmB4ckByYuWZDKv_1767398262763,Beta Inc,"{""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""department"":""Design"",""title"":""UX Designer"",""location"":""Portland, OR"",""phone"":""+1-503-555-0107"",""roles"":""[\""user\""]"",""plan"":""professional"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_007_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
hannah.hernandez@betainc.com,Hannah,Hernandez,false,auth0|user_008_1767398262763,org_gmmB4ckByYuWZDKv_1767398262763,Beta Inc,"{""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""department"":""Customer Success"",""title"":""CS Representative"",""location"":""Remote"",""phone"":""+1-555-555-0108"",""roles"":""[\""user\"",\""support\""]"",""plan"":""professional"",""onboarding_completed"":""false"",""auth0_user_id"":""auth0|user_008_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
michael.martinez@betainc.com,Michael,Martinez,false,auth0|user_013_1767398262763,org_gmmB4ckByYuWZDKv_1767398262763,Beta Inc,"{""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""department"":""Engineering"",""title"":""DevOps Engineer"",""location"":""Seattle, WA"",""phone"":""+1-206-555-0113"",""roles"":""[\""developer\"",\""devops\""]"",""plan"":""professional"",""onboarding_completed"":""false"",""auth0_user_id"":""auth0|user_013_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
ivan.ivanov@gammallc.com,Ivan,Ivanov,true,auth0|user_009_1767398262763,org_XVFSHPIbMivFIlwU_1767398262763,Gamma LLC,"{""auth0_organization_id"":""org_gamma_003"",""auth0_organization_name"":""Gamma LLC"",""department"":""Operations"",""title"":""COO"",""location"":""Boston, MA"",""phone"":""+1-617-555-0109"",""roles"":""[\""admin\"",\""executive\""]"",""plan"":""starter"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_009_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
julia.johnson@gammallc.com,Julia,Johnson,true,auth0|user_010_1767398262763,org_XVFSHPIbMivFIlwU_1767398262763,Gamma LLC,"{""auth0_organization_id"":""org_gamma_003"",""auth0_organization_name"":""Gamma LLC"",""department"":""Finance"",""title"":""Controller"",""location"":""Boston, MA"",""phone"":""+1-617-555-0110"",""roles"":""[\""user\"",\""finance\""]"",""plan"":""starter"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_010_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
kevin.kim@gammallc.com,Kevin,Kim,true,auth0|user_011_1767398262763,org_XVFSHPIbMivFIlwU_1767398262763,Gamma LLC,"{""auth0_organization_id"":""org_gamma_003"",""auth0_organization_name"":""Gamma LLC"",""department"":""Engineering"",""title"":""Junior Developer"",""location"":""Remote"",""phone"":""+1-555-555-0111"",""roles"":""[\""developer\""]"",""plan"":""starter"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_011_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
nancy.nguyen@gammallc.com,Nancy,Nguyen,true,auth0|user_014_1767398262763,org_XVFSHPIbMivFIlwU_1767398262763,Gamma LLC,"{""auth0_organization_id"":""org_gamma_003"",""auth0_organization_name"":""Gamma LLC"",""department"":""Sales"",""title"":""Sales Representative"",""location"":""Boston, MA"",""phone"":""+1-617-555-0114"",""roles"":""[\""user\""]"",""plan"":""starter"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_014_1767398262763"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
