id,first_name,last_name,username,primary_email_address,primary_phone_number,verified_email_addresses,unverified_email_addresses,verified_phone_numbers,unverified_phone_numbers,totp_secret,password_digest,password_hasher
user_01,Alice,Johnson,alicej,alice.johnson@acme.com,+15551000001,alice.johnson@acme.com,,+15551000001,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_02,Bob,Martinez,bobm,bob.martinez@acme.com,,bob.martinez@acme.com,,,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_03,Carol,Williams,carolw,carol.williams@acme.com,+15551000003,carol.williams@acme.com,,+15551000003,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_04,David,Brown,davidb,david.brown@acme.com,,david.brown@acme.com,,,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_05,Emma,Davis,emmad,emma.davis@acme.com,,emma.davis@acme.com,,,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_06,Frank,Garcia,frankg,frank.garcia@globex.io,+15551000006,frank.garcia@globex.io,,+15551000006,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_07,Grace,Lee,gracel,grace.lee@globex.io,,grace.lee@globex.io,,,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_08,Henry,Wilson,henryw,henry.wilson@globex.io,,henry.wilson@globex.io,,,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_09,Iris,Taylor,irist,iris.taylor@globex.io,+15551000009,iris.taylor@globex.io,,+15551000009,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
user_10,Jack,Anderson,jacka,jack.anderson@globex.io,,jack.anderson@globex.io,,,,,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt
