email,first_name,last_name,email_verified,external_id,password_hash,password_hash_type,metadata
alice.johnson@acme.com,Alice,Johnson,true,uid_01,,,"{""firebase_uid"":""uid_01"",""phone_number"":""+15551000001"",""provider_info"":[{""providerId"":""password"",""rawId"":""alice.johnson@acme.com"",""email"":""alice.johnson@acme.com""}],""created_at"":""2022-03-23T07:20:42.135Z"",""last_signed_in_at"":""2023-11-14T22:13:20.000Z""}"
bob.martinez@acme.com,Bob,Martinez,true,uid_02,,,"{""firebase_uid"":""uid_02"",""provider_info"":[{""providerId"":""password"",""rawId"":""bob.martinez@acme.com"",""email"":""bob.martinez@acme.com""}],""created_at"":""2022-03-23T07:22:22.000Z"",""last_signed_in_at"":""2023-11-14T22:15:00.000Z""}"
carol.williams@acme.com,Carol,Williams,true,uid_03,,,"{""firebase_uid"":""uid_03"",""phone_number"":""+15551000003"",""provider_info"":[{""providerId"":""password"",""rawId"":""carol.williams@acme.com"",""email"":""carol.williams@acme.com""}],""created_at"":""2022-03-23T07:24:02.000Z"",""last_signed_in_at"":""2023-11-14T22:16:40.000Z""}"
david.brown@acme.com,David,Brown,true,uid_04,,,"{""firebase_uid"":""uid_04"",""provider_info"":[{""providerId"":""password"",""rawId"":""david.brown@acme.com"",""email"":""david.brown@acme.com""}],""created_at"":""2022-03-23T07:25:42.000Z"",""last_signed_in_at"":""2023-11-14T22:18:20.000Z""}"
emma.davis@acme.com,Emma,Davis,true,uid_05,,,"{""firebase_uid"":""uid_05"",""provider_info"":[{""providerId"":""password"",""rawId"":""emma.davis@acme.com"",""email"":""emma.davis@acme.com""}],""created_at"":""2022-03-23T07:27:22.000Z"",""last_signed_in_at"":""2023-11-14T22:20:00.000Z""}"
frank.garcia@globex.io,Frank,Garcia,true,uid_06,,,"{""firebase_uid"":""uid_06"",""phone_number"":""+15551000006"",""provider_info"":[{""providerId"":""password"",""rawId"":""frank.garcia@globex.io"",""email"":""frank.garcia@globex.io""},{""providerId"":""google.com"",""rawId"":""107234567890"",""email"":""frank.garcia@gmail.com"",""displayName"":""Frank Garcia""}],""created_at"":""2022-03-23T07:29:02.000Z"",""last_signed_in_at"":""2023-11-14T22:21:40.000Z""}"
grace.lee@globex.io,Grace,Lee,true,uid_07,,,"{""firebase_uid"":""uid_07"",""provider_info"":[{""providerId"":""password"",""rawId"":""grace.lee@globex.io"",""email"":""grace.lee@globex.io""}],""created_at"":""2022-03-23T07:30:42.000Z"",""last_signed_in_at"":""2023-11-14T22:23:20.000Z""}"
henry.wilson@globex.io,Henry,Wilson,true,uid_08,,,"{""firebase_uid"":""uid_08"",""provider_info"":[{""providerId"":""password"",""rawId"":""henry.wilson@globex.io"",""email"":""henry.wilson@globex.io""}],""created_at"":""2022-03-23T07:32:22.000Z"",""last_signed_in_at"":""2023-11-14T22:25:00.000Z""}"
iris.taylor@globex.io,Iris,Taylor,true,uid_09,,,"{""firebase_uid"":""uid_09"",""phone_number"":""+15551000009"",""provider_info"":[{""providerId"":""password"",""rawId"":""iris.taylor@globex.io"",""email"":""iris.taylor@globex.io""}],""created_at"":""2022-03-23T07:34:02.000Z"",""last_signed_in_at"":""2023-11-14T22:26:40.000Z""}"
jack.anderson@globex.io,Jack,Anderson,true,uid_10,,,"{""firebase_uid"":""uid_10"",""provider_info"":[{""providerId"":""password"",""rawId"":""jack.anderson@globex.io"",""email"":""jack.anderson@globex.io""}],""created_at"":""2022-03-23T07:35:42.000Z"",""last_signed_in_at"":""2023-11-14T22:28:20.000Z""}"
karen.thomas@initech.co,Karen,Thomas,true,uid_11,,,"{""firebase_uid"":""uid_11"",""phone_number"":""+15551000011"",""provider_info"":[{""providerId"":""password"",""rawId"":""karen.thomas@initech.co"",""email"":""karen.thomas@initech.co""}],""created_at"":""2022-03-23T07:37:22.000Z"",""last_signed_in_at"":""2023-11-14T22:30:00.000Z""}"
leo.jackson@initech.co,Leo,Jackson,true,uid_12,,,"{""firebase_uid"":""uid_12"",""provider_info"":[{""providerId"":""password"",""rawId"":""leo.jackson@initech.co"",""email"":""leo.jackson@initech.co""}],""created_at"":""2022-03-23T07:39:02.000Z"",""last_signed_in_at"":""2023-11-14T22:31:40.000Z""}"
mia.white@initech.co,Mia,White,true,uid_13,,,"{""firebase_uid"":""uid_13"",""provider_info"":[{""providerId"":""password"",""rawId"":""mia.white@initech.co"",""email"":""mia.white@initech.co""}],""created_at"":""2022-03-23T07:40:42.000Z"",""last_signed_in_at"":""2023-11-14T22:33:20.000Z""}"
noah.harris@initech.co,Noah,Harris,true,uid_14,,,"{""firebase_uid"":""uid_14"",""provider_info"":[{""providerId"":""password"",""rawId"":""noah.harris@initech.co"",""email"":""noah.harris@initech.co""}],""created_at"":""2022-03-23T07:42:22.000Z"",""last_signed_in_at"":""2023-11-14T22:35:00.000Z""}"
olivia.clark@initech.co,Olivia,Clark,true,uid_15,,,"{""firebase_uid"":""uid_15"",""phone_number"":""+15551000015"",""provider_info"":[{""providerId"":""password"",""rawId"":""olivia.clark@initech.co"",""email"":""olivia.clark@initech.co""}],""created_at"":""2022-03-23T07:44:02.000Z"",""last_signed_in_at"":""2023-11-14T22:36:40.000Z""}"
