email,first_name,last_name,email_verified,external_id,org_external_id,org_name,metadata
oliver.oconnor@acmecorp.com,Oliver,O'Connor,true,auth0|user_015,org_acme_001,Acme Corporation,"{""auth0_organization_name"":""Acme Corporation"",""department"":""Engineering"",""title"":""QA Engineer"",""location"":""Austin, TX"",""phone"":""+1-512-555-0115"",""auth0_organization_id"":""org_acme_001"",""roles"":""[\""developer\"",\""qa\""]"",""plan"":""enterprise"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_015"",""auth0_created_at"":""2026-01-02T22:00:26.124Z"",""auth0_updated_at"":""2026-01-02T22:00:26.124Z""}"
diana.davis@acmecorp.com,Diana,Davis,false,auth0|user_004,org_acme_001,Acme Corporation,"{""department"":""Marketing"",""title"":""Marketing Coordinator"",""location"":""Austin, TX"",""phone"":""+1-512-555-0104"",""auth0_organization_id"":""org_acme_001"",""auth0_organization_name"":""Acme Corporation"",""onboarding_completed"":""false"",""roles"":""[\""user\""]"",""plan"":""enterprise"",""auth0_user_id"":""auth0|user_004"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
evan.evans@betainc.com,Evan,Evans,true,auth0|user_005,org_beta_002,Beta Inc,"{""auth0_organization_name"":""Beta Inc"",""department"":""Product"",""title"":""Product Manager"",""location"":""Seattle, WA"",""phone"":""+1-206-555-0105"",""auth0_organization_id"":""org_beta_002"",""onboarding_completed"":""true"",""roles"":""[\""admin\"",\""product\""]"",""plan"":""professional"",""auth0_user_id"":""auth0|user_005"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
fiona.fitzgerald@betainc.com,Fiona,Fitzgerald,true,auth0|user_006,org_beta_002,Beta Inc,"{""department"":""Engineering"",""title"":""Staff Engineer"",""location"":""Seattle, WA"",""phone"":""+1-206-555-0106"",""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""roles"":""[\""developer\""]"",""plan"":""professional"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_006"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
george.garcia@betainc.com,George,Garcia,true,auth0|user_007,org_beta_002,Beta Inc,"{""location"":""Portland, OR"",""phone"":""+1-503-555-0107"",""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""department"":""Design"",""title"":""UX Designer"",""onboarding_completed"":""true"",""roles"":""[\""user\""]"",""plan"":""professional"",""auth0_user_id"":""auth0|user_007"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
hannah.hernandez@betainc.com,Hannah,Hernandez,false,auth0|user_008,org_beta_002,Beta Inc,"{""phone"":""+1-555-555-0108"",""auth0_organization_id"":""org_beta_002"",""auth0_organization_name"":""Beta Inc"",""department"":""Customer Success"",""title"":""CS Representative"",""location"":""Remote"",""roles"":""[\""user\"",\""support\""]"",""plan"":""professional"",""onboarding_completed"":""false"",""auth0_user_id"":""auth0|user_008"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
ivan.ivanov@gammallc.com,Ivan,Ivanov,true,auth0|user_009,org_gamma_003,Gamma LLC,"{""department"":""Operations"",""title"":""COO"",""location"":""Boston, MA"",""phone"":""+1-617-555-0109"",""auth0_organization_id"":""org_gamma_003"",""auth0_organization_name"":""Gamma LLC"",""onboarding_completed"":""true"",""roles"":""[\""admin\"",\""executive\""]"",""plan"":""starter"",""auth0_user_id"":""auth0|user_009"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
julia.johnson@gammallc.com,Julia,Johnson,true,auth0|user_010,org_gamma_003,Gamma LLC,"{""auth0_organization_id"":""org_gamma_003"",""auth0_organization_name"":""Gamma LLC"",""department"":""Finance"",""title"":""Controller"",""location"":""Boston, MA"",""phone"":""+1-617-555-0110"",""onboarding_completed"":""true"",""roles"":""[\""user\"",\""finance\""]"",""plan"":""starter"",""auth0_user_id"":""auth0|user_010"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
kevin.kim@gammallc.com,Kevin,Kim,true,auth0|user_011,org_gamma_003,Gamma LLC,"{""auth0_organization_name"":""Gamma LLC"",""department"":""Engineering"",""title"":""Junior Developer"",""location"":""Remote"",""phone"":""+1-555-555-0111"",""auth0_organization_id"":""org_gamma_003"",""onboarding_completed"":""true"",""roles"":""[\""developer\""]"",""plan"":""starter"",""auth0_user_id"":""auth0|user_011"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
laura.lopez@acmecorp.com,Laura,Lopez,true,auth0|user_012,org_acme_001,Acme Corporation,"{""auth0_organization_name"":""Acme Corporation"",""department"":""HR"",""title"":""HR Manager"",""location"":""San Francisco, CA"",""phone"":""+1-415-555-0112"",""auth0_organization_id"":""org_acme_001"",""roles"":""[\""user\"",\""hr\""]"",""plan"":""enterprise"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_012"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
michael.martinez@betainc.com,Michael,Martinez,false,auth0|user_013,org_beta_002,Beta Inc,"{""auth0_organization_name"":""Beta Inc"",""department"":""Engineering"",""title"":""DevOps Engineer"",""location"":""Seattle, WA"",""phone"":""+1-206-555-0113"",""auth0_organization_id"":""org_beta_002"",""onboarding_completed"":""false"",""roles"":""[\""developer\"",\""devops\""]"",""plan"":""professional"",""auth0_user_id"":""auth0|user_013"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
nancy.nguyen@gammallc.com,Nancy,Nguyen,true,auth0|user_014,org_gamma_003,Gamma LLC,"{""auth0_organization_id"":""org_gamma_003"",""auth0_organization_name"":""Gamma LLC"",""department"":""Sales"",""title"":""Sales Representative"",""location"":""Boston, MA"",""phone"":""+1-617-555-0114"",""roles"":""[\""user\""]"",""plan"":""starter"",""onboarding_completed"":""true"",""auth0_user_id"":""auth0|user_014"",""auth0_created_at"":""2026-01-02T22:00:26.123Z"",""auth0_updated_at"":""2026-01-02T22:00:26.123Z""}"
